condition	biorep	techrep	fastq1	fastq2	assembly	aligner	restrictionEnzymes
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	1	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR1_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR1_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	2	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR2_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR2_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	3	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR3_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR3_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	4	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR4_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR4_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	5	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR5_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR5_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	6	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR6_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR6_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	7	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR7_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR7_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	8	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR8_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR8_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	1	9	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR9_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR1_TR9_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	1	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR1_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR1_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	2	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR2_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR2_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	3	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR3_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR3_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	4	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR4_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR4_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	5	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR5_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR5_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	6	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR6_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR6_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	7	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR7_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR7_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	8	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR8_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR8_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
Formaldehyde+DSG_DdeI_and_DpnII_HFFc6	2	9	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR9_R1.fastq.gz	vignettes/systematic/downsampled/Formaldehyde+DSG_DdeI_and_DpnII_HFFc6_BR2_TR9_R2.fastq.gz	hg38	bwa-mem2	DdeI DpnII
